subscriberId,id,complements,statusCode,scenario
"SVTL001",14393,"ARC201",200,"successful operation"
"SVTL001",14393,"ARC201",400,"Bad Request"
"SVTL001",14393,"ARC201",401,"Unauthorized"
"SVTL001",14393,"ARC201",403,"Forbidden - Scope Not Permitted"
"SVTL001",14393,"ARC201",404,"Not Found"
"SVTL001",14393,"ARC201",429,"Too Many Requests - Exceeded Quota"
"SVTL001",14393,"ARC201",500,"Internal Server Error"
"SVTL001",14393,"ARC201",503,"Service Unavailable"
"SVTL001",14393,"ARC201",504,"Gateway Timeout"
"SVTL001",2449,",200,"successful operation"
"SVTL001",2449,",400,"Bad Request"
"SVTL001",2449,",401,"Unauthorized"
"SVTL001",2449,",403,"Forbidden - Scope Not Permitted"
"SVTL001",2449,",404,"Not Found"
"SVTL001",2449,",429,"Too Many Requests - Exceeded Quota"
"SVTL001",2449,",500,"Internal Server Error"
"SVTL001",2449,",503,"Service Unavailable"
"SVTL001",2449,",504,"Gateway Timeout"
